"","time","sim.num","s.num","i.num","r.num","num","si.flow","ir.flow"
"1",1,500,495,5,0,500,NA,NA
"2",2,500,494.555555555556,5.33333333333333,0.111111111111111,500,0.444444444444444,0.111111111111111
"3",3,500,493.888888888889,6,0.111111111111111,500,0.666666666666667,0
"4",4,500,493,6.55555555555555,0.444444444444444,500,0.888888888888889,0.333333333333333
"5",5,500,492.222222222222,7.33333333333333,0.444444444444444,500,0.777777777777778,0
"6",6,500,490.555555555556,9,0.444444444444444,500,1.66666666666667,0
"7",7,500,489.777777777778,9.77777777777778,0.444444444444444,500,0.777777777777778,0
"8",8,500,487.888888888889,11.5555555555556,0.555555555555555,500,1.88888888888889,0.111111111111111
"9",9,500,486.333333333333,13.1111111111111,0.555555555555555,500,1.55555555555556,0
"10",10,500,484.111111111111,14.8888888888889,1,500,2.22222222222222,0.444444444444444
"11",11,500,481.666666666667,17.2222222222222,1.11111111111111,500,2.44444444444444,0.111111111111111
"12",12,500,479.444444444444,19.1111111111111,1.44444444444444,500,2.22222222222222,0.333333333333333
"13",13,500,476.333333333333,22.1111111111111,1.55555555555556,500,3.11111111111111,0.111111111111111
"14",14,500,473.222222222222,25.1111111111111,1.66666666666667,500,3.11111111111111,0.111111111111111
"15",15,500,468.444444444444,29.4444444444444,2.11111111111111,500,4.77777777777778,0.444444444444444
"16",16,500,464.888888888889,32.6666666666667,2.44444444444444,500,3.55555555555556,0.333333333333333
"17",17,500,459.111111111111,38,2.88888888888889,500,5.77777777777778,0.444444444444444
"18",18,500,455.111111111111,41.6666666666667,3.22222222222222,500,4,0.333333333333333
"19",19,500,449.111111111111,47.5555555555556,3.33333333333333,500,6,0.111111111111111
"20",20,500,442,53.7777777777778,4.22222222222222,500,7.11111111111111,0.888888888888889
"21",21,500,435.222222222222,60,4.77777777777778,500,6.77777777777778,0.555555555555555
"22",22,500,426.888888888889,67.8888888888889,5.22222222222222,500,8.33333333333333,0.444444444444444
