"","time","sim.num","sim.num.g2","s.num","i.num","num","s.num.g2","i.num.g2","num.g2","si.flow","si.flow.g2"
"1",1,250,250,248,2,250,247,3,250,NA,NA
"2",2,250,250,247.555555555556,2.44444444444444,250,246.222222222222,3.77777777777778,250,0.444444444444444,0.777777777777778
"3",3,250,250,247.333333333333,2.66666666666667,250,245.222222222222,4.77777777777778,250,0.222222222222222,1
"4",4,250,250,246.555555555556,3.44444444444444,250,244.444444444444,5.55555555555556,250,0.777777777777778,0.777777777777778
"5",5,250,250,245.777777777778,4.22222222222222,250,243.333333333333,6.66666666666667,250,0.777777777777778,1.11111111111111
"6",6,250,250,245,5,250,242.222222222222,7.77777777777778,250,0.777777777777778,1.11111111111111
"7",7,250,250,244.444444444444,5.55555555555555,250,240.444444444444,9.55555555555556,250,0.555555555555555,1.77777777777778
"8",8,250,250,242.888888888889,7.11111111111111,250,238.444444444444,11.5555555555556,250,1.55555555555556,2
"9",9,250,250,241,9,250,236.555555555556,13.4444444444444,250,1.88888888888889,1.88888888888889
"10",10,250,250,239.888888888889,10.1111111111111,250,232.555555555556,17.4444444444444,250,1.11111111111111,4
"11",11,250,250,236.555555555556,13.4444444444444,250,228.666666666667,21.3333333333333,250,3.33333333333333,3.88888888888889
"12",12,250,250,233.333333333333,16.6666666666667,250,225,25,250,3.22222222222222,3.66666666666667
"13",13,250,250,230,20,250,219.555555555556,30.4444444444444,250,3.33333333333333,5.44444444444445
"14",14,250,250,225.888888888889,24.1111111111111,250,213.333333333333,36.6666666666667,250,4.11111111111111,6.22222222222222
"15",15,250,250,220.555555555556,29.4444444444444,250,206,44,250,5.33333333333333,7.33333333333333
"16",16,250,250,213.444444444444,36.5555555555556,250,198.555555555556,51.4444444444444,250,7.11111111111111,7.44444444444444
"17",17,250,250,206.777777777778,43.2222222222222,250,188.555555555556,61.4444444444444,250,6.66666666666667,10
"18",18,250,250,199.888888888889,50.1111111111111,250,177.444444444444,72.5555555555555,250,6.88888888888889,11.1111111111111
"19",19,250,250,192.666666666667,57.3333333333333,250,166.666666666667,83.3333333333333,250,7.22222222222222,10.7777777777778
"20",20,250,250,182.888888888889,67.1111111111111,250,151.888888888889,98.1111111111111,250,9.77777777777778,14.7777777777778
"21",21,250,250,172.666666666667,77.3333333333333,250,139,111,250,10.2222222222222,12.8888888888889
"22",22,250,250,161.444444444444,88.5555555555556,250,126,124,250,11.2222222222222,13
"23",23,250,250,149.333333333333,100.666666666667,250,111.666666666667,138.333333333333,250,12.1111111111111,14.3333333333333
"24",24,250,250,138,112,250,98.4444444444445,151.555555555556,250,11.3333333333333,13.2222222222222
"25",25,250,250,127.111111111111,122.888888888889,250,87,163,250,10.8888888888889,11.4444444444444
"26",26,250,250,115.888888888889,134.111111111111,250,75.1111111111111,174.888888888889,250,11.2222222222222,11.8888888888889
"27",27,250,250,106,144,250,64.3333333333333,185.666666666667,250,9.88888888888889,10.7777777777778
"28",28,250,250,95.5555555555555,154.444444444444,250,54.5555555555556,195.444444444444,250,10.4444444444444,9.77777777777778
"29",29,250,250,86.8888888888889,163.111111111111,250,45.4444444444444,204.555555555556,250,8.66666666666667,9.11111111111111
"30",30,250,250,85.6666666666667,164.333333333333,250,44.6666666666667,205.333333333333,250,1.22222222222222,0.777777777777778
"31",31,250,250,85.2222222222222,164.777777777778,250,43.4444444444444,206.555555555556,250,0.444444444444444,1.22222222222222
"32",32,250,250,84.5555555555556,165.444444444444,250,42.4444444444444,207.555555555556,250,0.666666666666667,1
"33",33,250,250,82.5555555555556,167.444444444444,250,41.2222222222222,208.777777777778,250,2,1.22222222222222
"34",34,250,250,80.7777777777778,169.222222222222,250,40.3333333333333,209.666666666667,250,1.77777777777778,0.888888888888889
"35",35,250,250,79.2222222222222,170.777777777778,250,39.4444444444444,210.555555555556,250,1.55555555555556,0.888888888888889
"36",36,250,250,77.7777777777778,172.222222222222,250,38.7777777777778,211.222222222222,250,1.44444444444444,0.666666666666667
"37",37,250,250,76.5555555555556,173.444444444444,250,37.5555555555556,212.444444444444,250,1.22222222222222,1.22222222222222
"38",38,250,250,75.7777777777778,174.222222222222,250,36.8888888888889,213.111111111111,250,0.777777777777778,0.666666666666667
"39",39,250,250,75.1111111111111,174.888888888889,250,35.6666666666667,214.333333333333,250,0.666666666666667,1.22222222222222
"40",40,250,250,74.1111111111111,175.888888888889,250,34.8888888888889,215.111111111111,250,1,0.777777777777778
"41",41,250,250,73,177,250,34,216,250,1.11111111111111,0.888888888888889
"42",42,250,250,70.5555555555556,179.444444444444,250,33.4444444444444,216.555555555556,250,2.44444444444444,0.555555555555555
"43",43,250,250,69.6666666666667,180.333333333333,250,32.5555555555556,217.444444444444,250,0.888888888888889,0.888888888888889
"44",44,250,250,68.8888888888889,181.111111111111,250,32.2222222222222,217.777777777778,250,0.777777777777778,0.333333333333333
"45",45,250,250,67.8888888888889,182.111111111111,250,31.5555555555556,218.444444444444,250,1,0.666666666666667
"46",46,250,250,66.8888888888889,183.111111111111,250,30.4444444444444,219.555555555556,250,1,1.11111111111111
"47",47,250,250,66.1111111111111,183.888888888889,250,29.8888888888889,220.111111111111,250,0.777777777777778,0.555555555555555
"48",48,250,250,65,185,250,28.7777777777778,221.222222222222,250,1.11111111111111,1.11111111111111
"49",49,250,250,64.2222222222222,185.777777777778,250,28.2222222222222,221.777777777778,250,0.777777777777778,0.555555555555555
"50",50,250,250,63.6666666666667,186.333333333333,250,26.8888888888889,223.111111111111,250,0.555555555555555,1.33333333333333
