"","time","sim.num","sim.num.g2","s.num","i.num","r.num","num","s.num.g2","i.num.g2","r.num.g2","num.g2","si.flow","si.flow.g2","ir.flow","ir.flow.g2"
"1",1,250,250,248,2,0,250,247,3,0,250,NA,NA,NA,NA
"2",2,250,250,247.444444444444,2.33333333333333,0.222222222222222,250,246.444444444444,3.55555555555556,0,250,0.555555555555555,0.555555555555555,0.222222222222222,0
"3",3,250,250,247.111111111111,2.66666666666667,0.222222222222222,250,245.555555555556,4.33333333333333,0.111111111111111,250,0.333333333333333,0.888888888888889,0,0.111111111111111
"4",4,250,250,246.777777777778,2.88888888888889,0.333333333333333,250,244.666666666667,5.22222222222222,0.111111111111111,250,0.333333333333333,0.888888888888889,0.111111111111111,0
"5",5,250,250,246.111111111111,3,0.888888888888889,250,243.555555555556,6.22222222222222,0.222222222222222,250,0.666666666666667,1.11111111111111,0.555555555555555,0.111111111111111
"6",6,250,250,245.222222222222,3.88888888888889,0.888888888888889,250,242.222222222222,7.44444444444445,0.333333333333333,250,0.888888888888889,1.33333333333333,0,0.111111111111111
"7",7,250,250,244.555555555556,4.33333333333333,1.11111111111111,250,241,8.33333333333333,0.666666666666667,250,0.666666666666667,1.22222222222222,0.222222222222222,0.333333333333333
"8",8,250,250,243,5.66666666666667,1.33333333333333,250,239.444444444444,9.88888888888889,0.666666666666667,250,1.55555555555556,1.55555555555556,0.222222222222222,0
"9",9,250,250,241.555555555556,6.88888888888889,1.55555555555556,250,237.777777777778,11.5555555555556,0.666666666666667,250,1.44444444444444,1.66666666666667,0.222222222222222,0
"10",10,250,250,240.222222222222,7.77777777777778,2,250,235.111111111111,14,0.888888888888889,250,1.33333333333333,2.66666666666667,0.444444444444444,0.222222222222222
"11",11,250,250,237.777777777778,9.44444444444444,2.77777777777778,250,233.222222222222,15.7777777777778,1,250,2.44444444444444,1.88888888888889,0.777777777777778,0.111111111111111
"12",12,250,250,235.666666666667,11,3.33333333333333,250,230,18.8888888888889,1.11111111111111,250,2.11111111111111,3.22222222222222,0.555555555555555,0.111111111111111
"13",13,250,250,232.555555555556,12.8888888888889,4.55555555555556,250,226.333333333333,22.3333333333333,1.33333333333333,250,3.11111111111111,3.66666666666667,1.22222222222222,0.222222222222222
"14",14,250,250,230.333333333333,14.6666666666667,5,250,222.111111111111,26.3333333333333,1.55555555555556,250,2.22222222222222,4.22222222222222,0.444444444444444,0.222222222222222
"15",15,250,250,227.333333333333,16.8888888888889,5.77777777777778,250,216.222222222222,31.7777777777778,2,250,3,5.88888888888889,0.777777777777778,0.444444444444444
"16",16,250,250,224.333333333333,19.1111111111111,6.55555555555556,250,211.222222222222,36.6666666666667,2.11111111111111,250,3,5,0.777777777777778,0.111111111111111
"17",17,250,250,218.888888888889,23.2222222222222,7.88888888888889,250,205.222222222222,42.1111111111111,2.66666666666667,250,5.44444444444445,6,1.33333333333333,0.555555555555555
"18",18,250,250,213.666666666667,26.3333333333333,10,250,197.888888888889,48.8888888888889,3.22222222222222,250,5.22222222222222,7.33333333333333,2.11111111111111,0.555555555555555
"19",19,250,250,206.666666666667,32.4444444444444,10.8888888888889,250,191.222222222222,55.1111111111111,3.66666666666667,250,7,6.66666666666667,0.888888888888889,0.444444444444444
"20",20,250,250,202.111111111111,34.6666666666667,13.2222222222222,250,183.555555555556,62,4.44444444444444,250,4.55555555555556,7.66666666666667,2.33333333333333,0.777777777777778
"21",21,250,250,196,39.2222222222222,14.7777777777778,250,176.666666666667,68.5555555555555,4.77777777777778,250,6.11111111111111,6.88888888888889,1.55555555555556,0.333333333333333
