"","time","sim.num","s.num","i.num","num","si.flow"
"1",1,500,495,5,500,NA
"2",2,500,494,6,500,1
"3",3,500,492.888888888889,7.11111111111111,500,1.11111111111111
"4",4,500,492.111111111111,7.88888888888889,500,0.777777777777778
"5",5,500,491.222222222222,8.77777777777778,500,0.888888888888889
"6",6,500,490.222222222222,9.77777777777778,500,1
"7",7,500,489.111111111111,10.8888888888889,500,1.11111111111111
"8",8,500,488.222222222222,11.7777777777778,500,0.888888888888889
"9",9,500,485.555555555556,14.4444444444444,500,2.66666666666667
"10",10,500,483.111111111111,16.8888888888889,500,2.44444444444444
"11",11,500,480.888888888889,19.1111111111111,500,2.22222222222222
"12",12,500,478.222222222222,21.7777777777778,500,2.66666666666667
"13",13,500,474.888888888889,25.1111111111111,500,3.33333333333333
"14",14,500,471.777777777778,28.2222222222222,500,3.11111111111111
"15",15,500,467.888888888889,32.1111111111111,500,3.88888888888889
"16",16,500,462.666666666667,37.3333333333333,500,5.22222222222222
"17",17,500,456,44,500,6.66666666666667
"18",18,500,451.444444444444,48.5555555555556,500,4.55555555555556
"19",19,500,445.888888888889,54.1111111111111,500,5.55555555555556
"20",20,500,438.444444444444,61.5555555555556,500,7.44444444444445
"21",21,500,429.333333333333,70.6666666666667,500,9.11111111111111
"22",22,500,419.555555555555,80.4444444444445,500,9.77777777777778
"23",23,500,410.444444444444,89.5555555555556,500,9.11111111111111
"24",24,500,400.444444444444,99.5555555555556,500,10
"25",25,500,387,113,500,13.4444444444444
"26",26,500,374.888888888889,125.111111111111,500,12.1111111111111
"27",27,500,361.666666666667,138.333333333333,500,13.2222222222222
"28",28,500,346.444444444444,153.555555555556,500,15.2222222222222
"29",29,500,330.333333333333,169.666666666667,500,16.1111111111111
"30",30,500,328.222222222222,171.777777777778,500,2.11111111111111
"31",31,500,325.888888888889,174.111111111111,500,2.33333333333333
"32",32,500,323.777777777778,176.222222222222,500,2.11111111111111
"33",33,500,321.444444444444,178.555555555556,500,2.33333333333333
"34",34,500,319.555555555556,180.444444444444,500,1.88888888888889
"35",35,500,316.888888888889,183.111111111111,500,2.66666666666667
"36",36,500,315.222222222222,184.777777777778,500,1.66666666666667
"37",37,500,313.111111111111,186.888888888889,500,2.11111111111111
"38",38,500,310.555555555556,189.444444444444,500,2.55555555555556
"39",39,500,308.777777777778,191.222222222222,500,1.77777777777778
"40",40,500,306.888888888889,193.111111111111,500,1.88888888888889
"41",41,500,304.555555555556,195.444444444444,500,2.33333333333333
"42",42,500,303,197,500,1.55555555555556
"43",43,500,301,199,500,2
"44",44,500,299.444444444444,200.555555555556,500,1.55555555555556
"45",45,500,297.555555555556,202.444444444444,500,1.88888888888889
"46",46,500,295.111111111111,204.888888888889,500,2.44444444444444
"47",47,500,293.222222222222,206.777777777778,500,1.88888888888889
"48",48,500,290.222222222222,209.777777777778,500,3
"49",49,500,287.888888888889,212.111111111111,500,2.33333333333333
"50",50,500,285,215,500,2.88888888888889
"51",51,500,282.888888888889,217.111111111111,500,2.11111111111111
"52",52,500,281,219,500,1.88888888888889
"53",53,500,278.555555555556,221.444444444444,500,2.44444444444444
"54",54,500,276.555555555556,223.444444444444,500,2
"55",55,500,272.666666666667,227.333333333333,500,3.88888888888889
"56",56,500,270.111111111111,229.888888888889,500,2.55555555555556
"57",57,500,268.333333333333,231.666666666667,500,1.77777777777778
"58",58,500,265.777777777778,234.222222222222,500,2.55555555555556
"59",59,500,263.333333333333,236.666666666667,500,2.44444444444444
"60",60,500,261.111111111111,238.888888888889,500,2.22222222222222
"61",61,500,258.888888888889,241.111111111111,500,2.22222222222222
"62",62,500,256.111111111111,243.888888888889,500,2.77777777777778
"63",63,500,253.888888888889,246.111111111111,500,2.22222222222222
"64",64,500,251.777777777778,248.222222222222,500,2.11111111111111
"65",65,500,250.111111111111,249.888888888889,500,1.66666666666667
"66",66,500,248,252,500,2.11111111111111
"67",67,500,246.333333333333,253.666666666667,500,1.66666666666667
"68",68,500,244.222222222222,255.777777777778,500,2.11111111111111
"69",69,500,242.111111111111,257.888888888889,500,2.11111111111111
"70",70,500,239.333333333333,260.666666666667,500,2.77777777777778
"71",71,500,237.222222222222,262.777777777778,500,2.11111111111111
"72",72,500,234.888888888889,265.111111111111,500,2.33333333333333
"73",73,500,233.111111111111,266.888888888889,500,1.77777777777778
"74",74,500,231.222222222222,268.777777777778,500,1.88888888888889
"75",75,500,229.222222222222,270.777777777778,500,2
"76",76,500,227,273,500,2.22222222222222
"77",77,500,224.333333333333,275.666666666667,500,2.66666666666667
"78",78,500,222.666666666667,277.333333333333,500,1.66666666666667
"79",79,500,221.222222222222,278.777777777778,500,1.44444444444444
"80",80,500,219,281,500,2.22222222222222
"81",81,500,216.888888888889,283.111111111111,500,2.11111111111111
"82",82,500,215.111111111111,284.888888888889,500,1.77777777777778
"83",83,500,213.222222222222,286.777777777778,500,1.88888888888889
"84",84,500,211,289,500,2.22222222222222
"85",85,500,208.333333333333,291.666666666667,500,2.66666666666667
"86",86,500,205.555555555556,294.444444444444,500,2.77777777777778
"87",87,500,203.222222222222,296.777777777778,500,2.33333333333333
"88",88,500,200.777777777778,299.222222222222,500,2.44444444444444
"89",89,500,199,301,500,1.77777777777778
"90",90,500,197.444444444444,302.555555555555,500,1.55555555555556
"91",91,500,195,305,500,2.44444444444444
"92",92,500,194,306,500,1
"93",93,500,191.555555555556,308.444444444444,500,2.44444444444444
"94",94,500,189.333333333333,310.666666666667,500,2.22222222222222
"95",95,500,187.444444444444,312.555555555556,500,1.88888888888889
